hayahash.h sha256: 38ac8ffc6eda9d616b6acd42ba49ae4c071841cd57d9549e71e2206090e287f9
bench.c sha256: 745797c0967c19dd239ad603a7fef0eaf3582c13908ac257ab04b986df8ff388
chibihash_v1.c sha256: c6f519daab7e40979e1e5a717934da18a32e555c5f204ac32940c30fdfbfd409
chibihash_v2.c sha256: b29af34c48f3f999842c1378c6f572f282b6a710a85d2e2766f452ebcad7b816
host: Apple M1 Pro, Darwin arm64 T6000, bare metal
compiler: Apple clang 21.0.0
compile: /usr/bin/clang -O3 -std=c11 -Wall -Wextra -mcpu=native -I.
core: performance core selected by the operating system
date: 2026-08-09
note: post sixth-pass 128-bit dispatch (docs/optimization/pass-6-128-dispatch.md);
  replaces the same-day pre-pass-6 run, which remains in git history

cpu warmup...
measurement: median of 9 calibrated ~40 ms samples; candidate order rotated

== large-input throughput (GB/s) ==
      size    chibihash v1    chibihash v2      hayahash64     hayahash128
        32            4.72            6.20            8.61            6.42
        48            5.59            7.94           10.60            8.30
        63            5.22            9.27           11.89            9.72
        64            7.70           10.04           13.00           10.39
        96            9.79           12.57           15.61           13.06
       128           10.89           14.34           17.29           14.96
       192           12.52           16.57           19.29           17.42
       256           15.84           18.00           20.67           19.03
       319           11.63           18.20           20.93           19.38
       320           16.42           18.89           22.26           20.58
       383           12.01           18.66           22.19           20.64
       384           16.61           19.22           22.96           21.47
       512           16.22           19.29           24.53           23.06
      1024           15.62           19.72           27.55           26.28
      4096           14.87           19.08           29.97           29.70
     16384           14.76           19.00           30.41           30.38
     65536           14.75           19.00           30.75           30.75
    262144           14.73           18.99           30.66           30.66
   1048576           14.73           18.99           30.73           30.76

== small-input latency (ns/hash, seed-chained) ==
       len    chibihash v1    chibihash v2      hayahash64     hayahash128
         1            6.50            9.99            8.05            9.47
         2            9.36            9.88            7.93            9.30
         3            9.60            9.88            7.93            9.31
         4            9.62           10.00            7.88            9.23
         6            9.96           10.00            7.88            9.23
         8            6.32            9.54            7.88            9.25
        10            9.51            9.86            7.87            9.24
        12           10.16            9.77            7.87            9.27
        14           10.31            9.78            7.87            9.25
        15           10.14            9.79            7.87            9.26
        16            6.70            9.77            7.87            9.25
        17            6.53           10.25            8.50           10.83
        20           10.11           10.23            8.48           10.82
        24           13.45           10.66            8.47           10.83
        28           15.83           10.99            8.48           10.81
        31           14.88           10.95            8.49           10.82
        32           12.13           11.34            8.41           10.52
        40           12.66           11.45            9.46           11.59
        48           16.17           11.47            9.47           11.58
        56           16.60           12.02           10.25           12.34
        63           20.23           12.39           10.22           12.33
        64           13.98           12.91            9.68           11.74
        96           16.34           14.77           11.04           12.94
       128           18.27           16.52           12.18           14.46
       319           37.18           25.92           20.68           23.06
       320           28.87           26.68           19.10           21.40
       383           40.80           28.93           21.94           23.72
       384           32.77           30.00           21.05           22.92

== small-input throughput (ns/hash, independent) ==
       len    chibihash v1    chibihash v2      hayahash64     hayahash128
         1            3.84            4.40            3.07            4.11
         2            6.24            4.40            3.08            4.12
         3            6.51            4.40            3.07            4.12
         4            7.13            4.21            2.76            3.83
         6            8.15            4.20            2.75            3.83
         8            4.41            4.42            2.70            3.81
        10            6.96            4.82            2.70            3.81
        12            8.20            4.59            2.70            3.81
        14            8.92            4.59            2.70            3.81
        15            9.22            4.59            2.70            3.81
        16            5.05            4.88            2.70            3.81
        17            5.18            5.30            3.85            5.03
        20            8.68            5.07            3.85            5.04
        24            7.84            5.38            3.84            5.04
        28            9.34            5.60            3.85            5.04
        31           10.43            5.59            3.85            5.03
        32            6.81            5.17            3.72            4.98
        40            7.65            5.59            4.53            5.78
        48            8.57            6.05            4.52            5.78
        56            9.22            6.60            5.28            6.46
        63           12.10            6.80            5.28            6.47
        64            8.38            6.38            4.92            6.15
        96            9.80            7.65            6.15            7.35
       128           11.69            8.90            7.38            8.53
       319           27.42           17.52           15.22           16.44
       320           19.50           16.93           14.37           15.55
       383           31.85           20.51           17.26           18.51
       384           23.10           19.98           16.67           17.87
