snapshot: cf9690f67100225feb30fdb1cce7c5a2200ea32d
hayahash.h sha256: b8b2495397d30419f92fed679095813b9f77675ebc9a8fbaa9ca1a63f75ef434
chibihash_v2.c sha256: b29af34c48f3f999842c1378c6f572f282b6a710a85d2e2766f452ebcad7b816
bench.c sha256: bace10da217b55545b725db88fa35c37015d9176a79ff566d4fee2c8b8eb479f
host: Apple M1 MacBook Air, Darwin arm64 T8103
compiler: Apple clang 21.0.0
compile: cc -O3 -std=c11 -Wall -Wextra -mcpu=native -I. -o /tmp/hayahash-paper-bench tests/bench.c tests/chibihash_v1.c
run: /tmp/hayahash-paper-bench
date: 2026-07-31
status: excluded from paper tables because a concurrent-work discontinuity
        depressed the long-input portion of the run

cpu warmup...
measurement: median of 9 calibrated ~40 ms samples; candidate order rotated

== large-input throughput (GB/s) ==
      size    chibihash v1    chibihash v2        hayahash
        32            4.66            6.14            9.13
        48            5.57            7.87           11.33
        63            5.06            9.22           12.77
        64            7.63            9.99           13.59
        96            9.73           12.50           17.08
       128           10.85           14.23           18.83
       192           12.42           16.44           19.71
       256           15.70           17.86           21.05
       319           10.58           16.85           19.87
       320           15.22           17.50           19.26
       383           11.17           17.29           19.26
       384           15.38           17.71           20.21
       512           15.02           17.87           21.84
      1024           14.49           18.27           24.36
      4096           13.78           17.70           26.45
     16384           13.69           17.62           26.77
     65536           13.66           17.57           27.09
    262144           13.64           17.57           26.99
   1048576           13.65           17.59           27.09

== small-input latency (ns/hash, seed-chained) ==
       len    chibihash v1    chibihash v2        hayahash
         1            6.91           10.67            7.85
         2           10.09           10.67            7.85
         3            9.98           10.30            7.58
         4            9.70           10.08            7.29
         6           10.03           10.07            7.29
         8            6.36            9.62            7.28
        10            9.60            9.92            7.28
        12           10.38            9.84            7.28
        14           10.27            9.84            7.28
        15           10.19            9.85            7.29
        16            6.74            9.85            7.28
        17            6.57           10.33            8.37
        20           10.33           10.30            8.37
        24           13.51           10.76            8.37
        28           15.89           11.05            8.37
        31           15.07           11.04            8.37
        32           11.99           11.37            8.22
        40           12.73           11.52            9.34
        48           16.19           11.53            9.31
        56           16.68           12.08            9.76
        63           20.40           12.49            9.77
        64           14.07           13.00            9.37
        96           16.42           14.86           10.90
       128           18.43           16.63           12.01
       319           37.39           26.01           20.46
       320           28.99           26.85           19.20
       383           40.94           29.14           23.15
       384           32.96           30.20           22.78

== small-input throughput (ns/hash, independent) ==
       len    chibihash v1    chibihash v2        hayahash
         1            3.88            4.43            3.10
         2            6.26            4.43            3.10
         3            6.55            4.43            3.10
         4            7.16            4.23            2.79
         6            8.13            4.23            2.79
         8            4.43            4.46            2.74
        10            7.04            4.85            2.74
        12            8.28            4.62            2.74
        14            8.96            4.62            2.74
        15            9.31            4.63            2.74
        16            5.12            4.91            2.74
        17            5.26            5.34            3.85
        20            8.71            5.10            3.85
        24            7.90            5.42            3.85
        28            9.38            5.63            3.85
        31           10.41            5.62            3.85
        32            6.88            5.21            3.47
        40            7.66            5.64            4.23
        48            8.62            6.09            4.23
        56            9.25            6.63            4.94
        63           12.44            6.83            4.94
        64            8.38            6.43            4.70
        96            9.87            7.68            5.62
       128           11.79            8.97            6.80
       319           28.14           17.67           14.99
       320           19.64           17.07           15.54
       383           31.98           20.67           18.56
       384           23.29           20.14           17.68
