Linux 6.8.0-137-generic x86_64 GNU/Linux
Model name:                              AMD EPYC 9655 96-Core Processor
Hypervisor vendor:                       KVM
gcc-13 (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
hayahash.h sha256: 16f315781fd57478b19df96e0abb10d90396351c68f771ce8ace975fc9380b0f
bench.c sha256: 745797c0967c19dd239ad603a7fef0eaf3582c13908ac257ab04b986df8ff388
chibihash_v1.c sha256: c6f519daab7e40979e1e5a717934da18a32e555c5f204ac32940c30fdfbfd409
chibihash_v2.c sha256: b29af34c48f3f999842c1378c6f572f282b6a710a85d2e2766f452ebcad7b816
host: AMD EPYC 9655, Ubuntu 24.04 KVM guest, Linux 6.8.0-137-generic
compiler: GCC 13.3.0
compile: gcc-13 -O3 -std=c11 -Wall -Wextra -Werror -march=native -I.
core: taskset -c 0; guest has no frequency control
note: absolute rates are indicative; use within-host ratios
note: post sixth-pass dispatch and 17..319-byte tiers; a same-run
  in-process A/B against the pre-pass header on this guest measured
  1 MiB 29.46 -> 53.72 GB/s with sub-320 rows flat to slightly better
date: 2026-08-09

cpu warmup...
measurement: median of 9 calibrated ~40 ms samples; candidate order rotated

== large-input throughput (GB/s) ==
      size    chibihash v1    chibihash v2      hayahash64     hayahash128
        32            7.18            7.76           10.21            7.61
        48            3.72            9.67           12.40            9.84
        63            4.33           11.51           13.82           11.48
        64           11.60           12.53           15.47           12.42
        96           14.33           15.53           18.96           15.36
       128           16.75           18.08           21.34           18.16
       192           19.66           20.84           24.48           21.51
       256           21.48           22.68           25.86           23.24
       319           15.46           23.13           25.65           23.79
       320           22.73           23.86           30.27           25.71
       383           17.33           24.06           29.30           25.98
       384           23.70           24.73           33.00           28.46
       512           24.85           25.88           36.70           32.70
      1024           26.72           27.63           45.44           42.30
      4096           27.38           27.76           53.44           52.26
     16384           27.29           27.28           54.33           53.76
     65536           27.27           27.22           54.03           53.68
    262144           27.39           27.45           54.49           54.45
   1048576           27.31           27.34           54.15           53.99

== small-input latency (ns/hash, seed-chained) ==
       len    chibihash v1    chibihash v2      hayahash64     hayahash128
         1            4.49            5.90            4.93            5.67
         2            4.58            5.90            4.92            5.68
         3            4.53            5.90            4.93            5.67
         4            4.58            5.84            4.92            5.70
         6            4.62            5.84            4.92            5.69
         8            4.55            5.68            4.92            5.66
        10            4.58            5.93            4.93            5.66
        12            4.59            5.91            4.93            5.67
        14            4.84            5.94            4.99            5.69
        15            5.05            5.91            4.92            5.66
        16           12.13            5.80            4.92            5.66
        17           12.06            6.00            4.85            6.40
        20           13.37            5.95            4.85            6.41
        24           12.04            6.55            4.85            6.40
        28           13.41            6.57            4.84            6.41
        31           13.50            6.56            4.84            6.40
        32            5.54            6.64            4.93            6.37
        40            5.56            6.61            5.80            7.12
        48           12.70            6.87            5.79            7.11
        56           12.79            7.74            5.95            7.38
        63           14.25            7.74            5.96            7.39
        64            6.46            7.51            5.88            7.37
        96            7.36            8.51            6.85            8.38
       128            8.35            9.43            7.83            9.28
       319           20.58           17.05           13.60           15.06
       320           14.20           15.56           13.21           14.76
       383           22.63           19.40           15.12           16.73
       384           16.31           17.83           14.24           15.80

== small-input throughput (ns/hash, independent) ==
       len    chibihash v1    chibihash v2      hayahash64     hayahash128
         1            3.09            3.00            2.46            3.59
         2            3.33            3.00            2.47            3.60
         3            3.45            3.00            2.47            3.59
         4            3.67            2.78            2.16            3.25
         6            4.04            2.77            2.16            3.25
         8            3.57            3.29            2.14            3.27
        10            3.97            3.78            2.14            3.26
        12            4.45            3.59            2.14            3.26
        14            4.85            3.58            2.14            3.27
        15            5.02            3.58            2.14            3.27
        16           12.28            3.56            2.14            3.26
        17           12.19            3.99            3.39            4.47
        20           13.58            3.86            3.39            4.47
        24           12.18            3.83            3.39            4.46
        28           13.37            4.09            3.39            4.46
        31           13.62            4.09            3.39            4.47
        32            4.40            4.04            3.12            4.11
        40            5.07            4.67            3.88            4.79
        48           12.92            4.96            3.88            4.79
        56           12.96            5.29            4.51            5.45
        63           14.61            5.45            4.54            5.47
        64            5.56            5.06            4.14            5.15
        96            6.48            6.07            5.03            6.08
       128            7.46            7.12            5.97            6.90
       319           20.57           13.77           12.48           13.40
       320           13.90           13.34           10.49           12.42
       383           22.06           15.89           12.97           14.79
       384           16.06           15.41           11.60           13.46
