Linux 6.18.38-1-MANJARO x86_64 GNU/Linux
Model name:                              AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M
CPU max MHz:                             5157.8950
gcc (GCC) 16.1.1 20260625
hayahash.h sha256: 38ac8ffc6eda9d616b6acd42ba49ae4c071841cd57d9549e71e2206090e287f9
bench.c sha256: 745797c0967c19dd239ad603a7fef0eaf3582c13908ac257ab04b986df8ff388
chibihash_v1.c sha256: c6f519daab7e40979e1e5a717934da18a32e555c5f204ac32940c30fdfbfd409
chibihash_v2.c sha256: b29af34c48f3f999842c1378c6f572f282b6a710a85d2e2766f452ebcad7b816
host: AMD Ryzen AI 9 HX PRO 370, Linux 6.18.38-1-MANJARO, bare metal
compiler: GCC 16.1.1 20260625
compile: gcc -O3 -std=c11 -Wall -Wextra -Werror -march=native -I.
core: taskset -c 0, Zen 5 P-core, performance governor
date: 2026-08-09
note: post sixth-pass 128-bit dispatch (docs/optimization/pass-6-128-dispatch.md);
  replaces the same-day pre-pass-6 run, which remains in git history

cpu warmup...
measurement: median of 9 calibrated ~40 ms samples; candidate order rotated

== large-input throughput (GB/s) ==
      size    chibihash v1    chibihash v2      hayahash64     hayahash128
        32            7.57            8.61           11.65            8.76
        48            4.24           10.42           14.00           10.38
        63            5.02           12.42           15.79           11.90
        64           12.23           13.75           17.78           14.25
        96           15.43           17.25           21.80           17.74
       128           18.22           19.83           24.25           20.30
       192           21.67           23.35           27.82           23.98
       256           23.86           25.41           29.61           26.11
       319           17.72           25.83           29.41           25.89
       320           25.36           26.82           33.23           28.85
       383           19.80           27.02           32.49           29.21
       384           26.48           27.85           37.27           33.09
       512           27.96           29.30           41.99           37.97
      1024           30.30           31.51           52.23           48.76
      4096           31.21           30.56           61.05           59.71
     16384           31.03           30.77           62.24           61.76
     65536           31.05           30.99           61.96           61.57
    262144           31.20           31.22           62.43           62.21
   1048576           31.19           31.23           61.48           61.29

== small-input latency (ns/hash, seed-chained) ==
       len    chibihash v1    chibihash v2      hayahash64     hayahash128
         1            3.96            5.15            4.30            4.92
         2            4.00            5.15            4.31            4.91
         3            4.00            5.15            4.31            4.91
         4            4.02            5.15            4.29            4.90
         6            4.05            5.15            4.29            4.89
         8            3.99            4.97            4.29            4.88
        10            4.11            5.22            4.29            4.88
        12            4.28            5.22            4.29            4.88
        14            4.63            5.22            4.29            4.88
        15            4.76            5.22            4.29            4.88
        16           10.73            5.06            4.29            4.88
        17           10.91            5.26            4.27            5.61
        20           11.90            5.23            4.27            5.61
        24           10.73            5.75            4.27            5.61
        28           11.95            5.74            4.27            5.61
        31           12.01            5.74            4.27            5.61
        32            4.83            5.80            4.30            5.60
        40            4.90            5.84            5.09            6.16
        48           11.34            6.08            5.09            6.15
        56           11.33            6.82            5.13            6.46
        63           12.60            6.81            5.14            6.47
        64            5.65            6.61            5.13            6.44
        96            6.51            7.48            5.96            7.30
       128            7.32            8.31            6.84            8.07
       319           18.12           14.98           12.12           13.36
       320           12.70           13.72           11.67           13.08
       383           19.58           17.01           13.42           14.88
       384           14.62           15.70           12.49           13.97

== small-input throughput (ns/hash, independent) ==
       len    chibihash v1    chibihash v2      hayahash64     hayahash128
         1            3.44            2.74            2.19            2.87
         2            3.62            2.74            2.19            2.87
         3            3.87            2.74            2.19            2.86
         4            3.80            2.55            1.91            2.56
         6            3.88            2.55            1.91            2.56
         8            3.66            3.05            1.97            2.61
        10            4.04            3.59            1.97            2.61
        12            4.31            3.43            1.97            2.61
        14            4.62            3.43            1.97            2.61
        15            4.79            3.43            1.97            2.61
        16           10.76            3.31            1.97            2.61
        17           10.76            3.75            2.99            3.88
        20           11.91            3.58            2.99            3.88
        24           10.74            3.53            2.99            3.88
        28           11.95            3.77            2.99            3.88
        31           12.10            3.77            2.99            3.88
        32            4.25            3.73            2.77            3.68
        40            4.91            4.35            3.46            4.65
        48           11.33            4.62            3.45            4.64
        56           11.40            4.89            3.98            5.27
        63           12.53            5.09            4.02            5.31
        64            5.27            4.67            3.62            4.51
        96            6.25            5.59            4.44            5.44
       128            7.07            6.48            5.31            6.33
       319           18.00           12.39           10.89           12.35
       320           12.68           11.98            9.67           11.15
       383           19.38           14.23           11.82           13.20
       384           14.57           13.84           10.31           11.64
