snapshot: cf9690f67100225feb30fdb1cce7c5a2200ea32d
code state: current digest and final GCC dispatch; later snapshot commit changes documentation only
hayahash.h sha256 at paper snapshot: b8b2495397d30419f92fed679095813b9f77675ebc9a8fbaa9ca1a63f75ef434
chibihash_v2.c sha256: b29af34c48f3f999842c1378c6f572f282b6a710a85d2e2766f452ebcad7b816
host: AMD Ryzen AI 9 HX PRO 370, Zen 5 classic core pinned near 5.16 GHz, performance governor
compiler: GCC 16.1, -O3 -march=native
method: tests/bench.c, median of 9 calibrated approximately 40 ms samples
source development record: .optwork/x86n_reference2.txt
date: 2026-07-31

cpu warmup...
measurement: median of 9 calibrated ~40 ms samples; candidate order rotated

== large-input throughput (GB/s) ==
      size    chibihash v1    chibihash v2        hayahash
        32            7.54            8.46           12.17
        48            4.24           10.43           14.83
        63            5.01           12.24           16.47
        64           12.25           13.63           18.27
        96           15.60           17.10           22.25
       128           18.23           19.66           24.97
       192           21.68           23.02           26.69
       256           23.78           25.03           28.84
       319           17.75           25.56           28.15
       320           25.40           26.44           24.34
       383           19.76           26.63           25.05
       384           26.50           27.45           26.27
       512           28.00           28.79           28.08
      1024           30.28           30.90           31.34
      4096           31.21           31.58           34.32
     16384           30.98           31.28           35.15
     65536           31.07           31.36           35.13
    262144           31.20           31.48           35.37
   1048576           31.20           31.45           35.38

== small-input latency (ns/hash, seed-chained) ==
       len    chibihash v1    chibihash v2        hayahash
         1            3.96            5.14            4.10
         2            4.03            5.14            4.10
         3            4.00            5.14            4.10
         4            4.03            5.15            4.10
         6            4.05            5.15            4.10
         8            4.01            4.97            4.10
        10            4.10            5.21            4.10
        12            4.31            5.26            4.10
        14            4.61            5.26            4.10
        15            4.74            5.26            4.10
        16           10.75            5.04            4.10
        17           10.78            5.21            4.39
        20           11.90            5.24            4.39
        24           10.74            5.74            4.39
        28           11.97            5.74            4.39
        31           12.01            5.74            4.39
        32            4.83            5.77            4.32
        40            4.88            5.84            5.12
        48           11.35            6.08            5.12
        56           11.42            6.82            5.24
        63           12.60            6.80            5.25
        64            5.66            6.60            5.19
        96            6.52            7.43            6.01
       128            7.32            8.29            6.90
       319           18.11           15.02           12.30
       320           12.67           13.70           13.41
       383           19.61           17.05           15.66
       384           14.60           15.71           14.85

== small-input throughput (ns/hash, independent) ==
       len    chibihash v1    chibihash v2        hayahash
         1            3.45            2.74            2.16
         2            3.61            2.74            2.16
         3            3.89            2.73            2.16
         4            3.80            2.55            1.89
         6            3.88            2.55            1.90
         8            3.68            3.06            1.86
        10            4.03            3.58            1.86
        12            4.30            3.42            1.86
        14            4.63            3.42            1.85
        15            4.77            3.42            1.85
        16           10.76            3.33            1.85
        17           10.75            3.78            2.88
        20           11.91            3.61            2.88
        24           10.75            3.52            2.89
        28           11.95            3.79            2.88
        31           12.04            3.79            2.88
        32            4.28            3.81            2.65
        40            4.89            4.35            3.26
        48           11.33            4.63            3.26
        56           11.53            4.88            3.82
        63           12.60            5.18            3.85
        64            5.28            4.72            3.53
        96            6.20            5.64            4.34
       128            7.07            6.54            5.16
       319           17.99           12.51           11.35
       320           12.64           12.12           13.18
       383           19.39           14.40           15.30
       384           14.54           14.01           14.64

